path	sentence	age	gender	accents
common_voice_en_32704289.mp3	The Smallest Ship that Ever Crossed the Atlantic!	25-year-old	male	American
common_voice_en_35011971.mp3	The Operator and Owner is the Exelon Corporation.	25-year-old	male	American
common_voice_en_209912.mp3	How sharper than the serpent's tooth it is to have a thankless child	25-year-old	male	American
common_voice_en_39820939.mp3	Many different routes have been travelled through the years.	25-year-old	male	American
common_voice_en_33433654.mp3	The veranda and gas lights were reproduced in the likeness of the originals.	45-year-old	male	British
common_voice_en_33433656.mp3	He was one of the early members of the Saudi National Commission for Wildlife.	45-year-old	male	British
common_voice_en_33433657.mp3	After many years Newton triumphed over all obstacles.	45-year-old	male	British
common_voice_en_31647840.mp3	He then studied Sciences at Oxford University specialising in Chemistry.	25-year-old	female	Hong Kong
common_voice_en_31647841.mp3	It can be propagated by seed or by cuttings.	25-year-old	female	Hong Kong
common_voice_en_31647845.mp3	Moon is the oldest of three children born to Michelle Moon.	25-year-old	female	Hong Kong